"Name"
"Abdul Rashid"
"Adriana Chelariu-Bazon"
"Agustina Soledad Sole Garca"
"Aladr Gerevich (-Gerei)"
"Alberto Pellegrino"
"Alberto Tomba"
"Aldo Montano"
"Alejandrina Mireya Luis Hernndez"
"Aleksandar Tomov Lazarov"
"Aleksandr Aleksandrovich Karelin"
"Aleksandr Anatolyevich Romankov"
"Aleksandr Arkadyevich Tuchkin"
"Aleksandr Ivanovich Tikhonov"
"Aleksandr Nikolayevich Maltsev"
"Aleksandr Pavlovich Ragulin"
"Aleksandr Vladimirovich Popov"
"Aleksandra Ivanovna Zabelina"
"Aleksey Vladimirovich Kuleshov"
"Aleksey Yuryevich Zhamnov"
"Alexandru Flker"
"Alfred Adolph Al Oerter, Jr."
"Allyson Michelle Felix"
"Ana Ivis Fernndez Valle"
"Anastasiya Semyonovna Davydova"
"Anatoly Vasilyevich Firsov"
"Andr Lange"
"Andr Willms"
"Andreas Hajek"
"Andreas Linger"
"Andrew James Hoy"
"Andrey Valentinovich Khomutov"
"Andrs Balcz"
"Andrzej Ryszard Pitkowski"
"Angela Marie Ruggiero"
"Anita Moen-Guidon (-Moen Bonden)"
"Anja Fichtel-Mauritz (-Koper)"
"Antonio Pacheco Mass"
"Antonio Rossi"
"Apolo Anton Ohno"
"Ariane Hingst"
"Armin Zggeler"
"Arnold Petrus Maria Vanderlijde"
"Artur Borisovich Taymazov"
"Arvydas Romas Sabonis"
"Augustinus Wilhelmus Johannes Marines Guus Vogels"
"Balbir Singh Dosanjh, Sr."
"Barbara Anne Kendall"
"Barbora potkov"
"Beata Mikoajczyk"
"Belinda Rose Snell"
"Bence Szab"
"Birgit Fischer-Schmidt"
"Birgit Prinz"
"Bjrn Kircheisen"
"Bob Johannes Carolus de Jong"
"Bogdan Musiol"
"Bonnie Kathleen Blair (-Cruikshank)"
"Boris Petrovich Mikhaylov"
"Borys Anfiyanovych Shakhlin"
"Brendan Joseph Hansen"
"Britt Marianne Strandberg (-Lundn)"
"Bronte Amelia Arnold Barratt"
"Carlo Massullo"
"Carlo Pavesi"
"Carmelo Kyan Anthony"
"Carmine Abbagnale"
"Caroline Brunet"
"Caroline Ouellette"
"Charline Charlie Labont"
"Chen Jing"
"Chen Ruolin"
"Cherie Piper"
"Christa Rothenburger-Luding"
"Christian Marie Auguste d'Oriola"
"Christian Nol"
"Christie Patricia Pearce-Rampone"
"Christine Stckelberger"
"Claudia Knzel-Nystad"
"Claudia Pechstein"
"Colleen Sostorics"
"Constana Pipot-Burcic"
"Crystl Irene Bustos"
"Damon Laurance Diletti"
"Daniel Jean Claude Ernest Revenu"
"Daniel Narcisse"
"Daniel Yves Morelon"
"Dante Guimares Santos do Amaral"
"Dara Grace Torres (-Hoffman, -Minas)"
"Darius Vladovich Kasparaitis"
"David Cal Figueroa"
"Dawn Lorraine Fraser"
"Dawn Michelle Staley"
"Dean Anthony Woods"
"Denean Elizabeth Howard-Hill"
"Dezs Gyarmati"
"Diana Lurena Taurasi"
"Dimitrij Ovtcharov"
"Doina Ignat"
"Doina Liliana Snep-Blan"
"Edit Kovcs"
"Edith Bosch"
"Edoardo Mangiarotti"
"Eduardo Paret Prez"
"Edward Ed Clancy"
"Edwin Corley Moses"
"Edy Sixten Jernberg"
"Eero Antero Mntyranta"
"Eizo Kenmotsu"
"Eleanor Elle Logan"
"Elena Georgescu-Nedelcu"
"Elin Nilsen"
"Elisabeta Oleniuc-Lip"
"Ellen Marijn Hoog"
"Elvira Ramilevna Khasyanova"
"Emily Jane Seebohm"
"Erik Alexander Jazet"
"Erik Staffan Olsson"
"Erzsbet Gulys-Kteles"
"Eskild Balschmidt Ebbesen"
"Eva Roma Maria de Goede"
"Evelyn Ashford (-Washington)"
"Evi Sachenbacher-Stehle"
"Felipe Reyes Cabaas"
"Ferenc Csipes"
"Flix Savn Fabr"
"Franco Giorgio Cagnotto"
"Frank Luck"
"Franziska van Almsick"
"Frederick Carlton Carl Lewis"
"Gabriella Paruzzi"
"Gary Wayne Hall, Jr."
"Gennady Georgiyevich Volnov"
"Georg Hackl"
"Georgeta Damian-Andrunache"
"Gergely Gerg Kiss"
"German Aleksandrovich Sveshnikov"
"Gert Fridolf Fredriksson"
"Gilberto Amauri Giba de Godoy Filho"
"Gillian Jill Sterkel"
"Gillian Mary Apps"
"Gintaras Einikis"
"Giovanna Trillini"
"Giuseppe Abbagnale"
"Giuseppe Delfino"
"Giuseppe Di Capua"
"Grant George Hackett"
"Grgory Benot Baug"
"Guenter H. Seidel"
"Gunda Niemann-Stirnemann-Kleemann"
"Gyrgy Krpti"
"Gyz Kulcsr"
"Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova)"
"Hamit Kaplan"
"Hans Einar Magnus Wislander"
"Hans Gnter Winkler"
"Harbinder Singh Chimni"
"Harri Tapani Kirvesniemi"
"Hayley Marie Wickenheiser"
"Heather Ann OReilly (-Werry)"
"Heather Blaine Mitts (-Feeley)"
"Hong Jeong-Ho"
"Ian Lowell Crocker"
"Igor Aleksandrovich Kravchuk"
"Igor Nikolayevich Larionov"
"Ildik Farkasinszky-Bbis (Bbis-)"
"Ildik Rejt-Ujlaky-Sgi"
"Ildik Schwarczenberger-Tordasi (-Kovcs)"
"Im Dong-Hyeon"
"Im O-Gyeong"
"Imre Polyk"
"Inger Helene Nybrten"
"Ingrid Klimke (-Busacker)"
"Inna Valeryevna Ryskal"
"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)"
"Isaac Ike Berger"
"Isabelle Charest (-Charbonneau)"
"Isabelle Regina Werth"
"Ivans Klementjevs"
"Ivica Kosteli"
"Jacqueline Jackie Joyner-Kersee"
"Jacques Vital Lucien Lataste"
"Jamie Raymond Dwyer"
"Jan elezn"
"Jared Tallent"
"Jari Olavi Isomets"
"Jarmo Pentti Kalevi Myllys"
"Jason Edward Lezak"
"Jason Francis Kenny"
"Jay Jason Stacy"
"Jayna Hefford"
"Jean-Franois Lamour"
"Jennifer Elisabeth Jenny Thompson (-Cumpelik)"
"Jennifer Lori Botterill"
"Jennifer Lynn Jenny Schmidgall-Potter"
"Jens Fiedler"
"Jeroen Petrus Maria Delme"
"Jerzy Wadysaw Pawowski"
"Jin Jong-O"
"Jnis Krmi"
"John Michael Plumb"
"Jos Manuel Caldern Borrallo"
"Josef Carl Peter Neckermann"
"Josefa Idem-Guerrini"
"Juan Carlos Navarro Feijoo"
"Juha Iisakki Mieto"
"Kaori Icho"
"Kari Aalvik Grimsb"
"Karin Enke-Kania (-Busch-, -Richter)"
"Karl-Erik Nilsson"
"Karl Gustav Herbert Freij"
"Karl Ragnar Skanker (Eriksson-)"
"Katalin Kovcs"
"Katherine May Katie Smith"
"Kathrin Boron (-Kppen)"
"Kathryn Katie King"
"Katrin Wagner-Augustin"
"Kerri Lee Walsh Jennings"
"Kerstin Stegemann"
"Kevin John Freeman"
"Kevin Kuske"
"Kieren John Perkins"
"Kim St-Pierre"
"Kim Su-Nyeong"
"Kimmo Samuel Timonen"
"Klaus Dibiasi"
"Klaus Kste"
"Klmn Markovits de Spizza et Kisterpest"
"Kristi Lee Harrower"
"Kristin Ann Armstrong (-Savola)"
"Kristine Lunde-Borgersen"
"Krisztina Egerszegi"
"Lachlan George Dreher"
"Larisa Yevgenyevna Lazutina (Ptitsyna-)"
"Larysa Oleksandrivna Karlova"
"Larysa Semenivna Latynina (Diriy-)"
"Lasse Juhani Kukkonen"
"Laura Ann Summerton-Hodges"
"Laura Kay Berg"
"Lauren Elizabeth Jackson"
"Leah Marie O'Brien-Amico"
"Lee Chong Wei"
"Leisel Marie Jones"
"Lesley Allison Thompson-Willie"
"Leslie Walter Claudius"
"Liam Andrew De Young"
"Lidewij Marsia Maria Welten"
"Liliana Gafencu"
"Linn-Kristin Ullevoldster Riegelhuth Koren"
"Lisa Deshawn Leslie (-Lockwood)"
"Lisa M. Fernandez (-Lujan)"
"Lori D. Harrigan (-Mack)"
"Lszl Jeney"
"Luc Abalo"
"Luciana Paula Lucha Aymar"
"Luigi Tarantino"
"Luis Ulacia lvarez"
"Lyudmila Ivanovna Turishcheva (-Borzova)"
"Maartje Yvonne Helene Paumen"
"Mahiedine Mekhissi-Benabbad"
"Maigonis Valdmanis"
"Makharbek Khazbiyevich Khadartsev"
"Manuela Di Centa"
"Manuela Lutze"
"Mara de la Paz Maripi Hernndez Margalot"
"Mara Magdalena Aicega Amicarelli"
"Mara Mercedes Mechi Margalot"
"Maria Valentina Vezzali"
"Mario Aldo Montano"
"Mario Stecher"
